listing_id,type,sub_type,start_date,end_date,listing_type,building_age,total_floor_count,floor_no,room_count,size,student_avaliable,mortgage_avaliable,address,furnished,heating_type,price,currency
1,Konut,Daire,1/3/19,1/3/19,satılık,3,4,0,3+1,130.0,0.0,0.0,Kocaeli/Körfez/Fatih,Eşyasız,Kalorifer (Doğalgaz),310473.19,TRY
2,Konut,Daire,1/2/19,1/2/19,satılık,0,5,1,4+1,175.0,0.0,0.0,Ankara/Yenimahalle/Burç,Eşyasız,Kombi (Doğalgaz),209500.0,TRY
3,Konut,Daire,1/2/19,1/2/19,satılık,0,3,1,3+1,125.0,0.0,0.0,Antalya/Kepez/Kütükçü,Eşyasız,Klima,210000.0,TRY
4,Konut,Daire,1/2/19,1/2/19,satılık,0,10,7,2+1,72.0,0.0,0.0,İstanbul/Esenler/Kazım Karabekir,Eşyasız,Klima,285000.0,TRY
5,Konut,Daire,1/2/19,1/2/19,satılık,0,4,3,1+1,75.0,0.0,0.0,İstanbul/Beylikdüzü/Yakuplu,Eşyasız,Kombi (Doğalgaz),139000.0,TRY
6,Konut,Daire,1/2/19,1/2/19,satılık,0,3,2,2+1,98.0,0.0,0.0,Eskişehir/Odunpazarı/Orhangazi,Eşyalı (Mobilyalı),Kombi (Doğalgaz),165000.0,TRY
7,Konut,Daire,1/2/19,1/2/19,satılık,0,4,0,2+1,95.0,0.0,0.0,İstanbul/Beylikdüzü/Cumhuriyet,Eşyasız,Kombi (Doğalgaz),134900.0,TRY
8,Konut,Daire,1/2/19,1/2/19,satılık,0,3,0,5+1,325.0,0.0,0.0,Eskişehir/Tepebaşı/Sazova,Eşyalı (Mobilyalı),Kombi (Doğalgaz),750000.0,TRY
9,Konut,Daire,1/2/19,1/2/19,satılık,0,4,3,3+1,120.0,0.0,0.0,İstanbul/Esenler/Davutpaşa,Eşyasız,Kombi (Doğalgaz),485000.0,TRY
10,Konut,Daire,1/2/19,1/2/19,satılık,0,4,0,2+1,85.0,0.0,0.0,İstanbul/Esenler/Fevzi Çakmak,Eşyasız,Kombi (Doğalgaz),170000.0,TRY
11,Konut,Daire,1/2/19,1/2/19,satılık,0,4,4,4+1,177.0,0.0,0.0,Eskişehir/Odunpazarı/Kırmızıtoprak,Eşyasız,Kombi (Doğalgaz),495000.0,TRY
12,Konut,Daire,1/2/19,1/2/19,satılık,0,0,4,3+1,122.0,0.0,0.0,İstanbul/Esenler/Birlik,Eşyasız,Kombi (Doğalgaz),585000.0,TRY
13,Konut,Daire,1/2/19,1/2/19,satılık,0,4,0,3+1,105.0,0.0,0.0,İstanbul/Esenler/Mimar Sinan,Eşyasız,Kombi (Doğalgaz),245000.0,TRY
14,Konut,Daire,1/2/19,1/2/19,satılık,0,3,1,2+1,97.0,0.0,0.0,İstanbul/Esenler/Davutpaşa,Eşyasız,Kombi (Doğalgaz),328000.0,TRY
